"Exp" "Sim1" "Sim2" "Sim3" "subgroup" "Sim1Err" "Sim2Err" "Sim3Err"
"1" -23.62 -22.03 -22.413 -22.483 "1" 1.59 1.207 1.137
"2" -2.49 -1.334 -1.132 -0.477 "1" 1.156 1.358 2.013
"3" -4.78 -3.06 -2.722 -2.931 "1" 1.72 2.058 1.849
"4" -4.45 -2.93 -3.034 -3.223 "1" 1.52 1.416 1.227
"5" -5.33 -4.886 -4.765 -4.929 "2" 0.444 0.565 0.401
"6" -5.26 -6.354 -6.361 -6.369 "2" -1.094 -1.101 -1.109
"7" -8.24 -7.043 -7.135 -7.408 "2" 1.197 1.105 0.832
"8" -6.24 -3.871 -3.822 -3.937 "2" 2.369 2.418 2.303
"9" -7.78 -10.392 -10.69 -10.834 "2" -2.612 -2.91 -3.054
"10" -3.75 -2.339 -2.388 -2.527 "3" 1.411 1.362 1.223
"11" -4.44 -3.851 -3.799 -3.904 "3" 0.589 0.641 0.536
"12" -4.09 -2.167 -2.376 -2.264 "3" 1.923 1.714 1.826
"13" -4.51 -1.981 -2.387 -2.059 "3" 2.529 2.123 2.451
"14" -3.2 -3.94 -3.733 -3.601 "3" -0.74 -0.533 -0.401
"15" -2.53 -1.293 -0.925 -1.289 "3" 1.237 1.605 1.241
"16" -3.78 -1.727 -1.666 -1.589 "4" 2.053 2.114 2.191
"17" -2.78 -0.063 0.002 -0.137 "5" 2.717 2.782 2.643
"18" -7.63 -7.935 -7.621 -8.074 "5" -0.305 0.00899999999999945 -0.444
"19" -6.78 -8.904 -9.168 -8.04 "5" -2.124 -2.388 -1.26
"20" -9.34 -5.705 -6.016 -6.028 "5" 3.635 3.324 3.312
"21" -7.43 -0.929 -0.817 -0.459 "5" 6.501 6.613 6.971
"22" -5.73 -8.025 -8.573 -8.494 "1" -2.295 -2.843 -2.764
"23" -5.31 -6.445 -6.547 -6.518 "1" -1.135 -1.237 -1.208
"24" -4.8 -7.656 -7.344 -7.548 "1" -2.856 -2.544 -2.748
"25" -4.29 -7.617 -6.531 -4.796 "1" -3.327 -2.241 -0.506
"26" -1.66 -0.848 -0.767 -0.688 "1" 0.812 0.893 0.972
"27" -2.29 -1.332 -1.202 -1.351 "1" 0.958 1.088 0.939
"28" -7.29 -5.177 -4.953 -5.173 "2" 2.113 2.337 2.117
"29" -6.96 -6.349 -6.228 -6.337 "2" 0.611 0.732 0.623
"30" -5.8 -7.571 -7.054 -7.092 "2" -1.771 -1.254 -1.292
"31" -4.68 -3.169 -3.201 -2.929 "2" 1.511 1.479 1.751
"32" -5.66 -4.886 -5.143 -4.993 "2" 0.774 0.517 0.667
"33" -5.94 -6.672 -6.63 -6.434 "2" -0.731999999999999 -0.69 -0.494
"34" -3.93 -2.274 -2.517 -2.337 "2" 1.656 1.413 1.593
"35" -0.85 0.589 0.632 0.853 "2" 1.439 1.482 1.703
"36" -5.05 -3.331 -3.311 -3.334 "3" 1.719 1.739 1.716
"37" -3.13 -3.302 -3.549 -3.384 "3" -0.172 -0.419 -0.254
"38" 0.14 0.749 0.819 0.681 "3" 0.609 0.679 0.541
"39" -5.08 -6.679 -6.682 -6.759 "3" -1.599 -1.602 -1.679
"40" -11.53 -8.388 -8.402 -8.124 "4" 3.142 3.128 3.406
"41" -9.44 -6.09 -6.074 -5.932 "4" 3.35 3.366 3.508
"42" -14.21 -11.941 -12.603 -10.903 "4" 2.269 1.607 3.307
"43" -11.85 -6.44 -6.313 -6.243 "4" 5.41 5.537 5.607
"44" -3.16 -3.005 -2.671 -2.788 "4" 0.155 0.489 0.372
"45" -4.14 -1.337 -1.592 -1.751 "4" 2.803 2.548 2.389
"46" -9.53 -5.766 -5.552 -6.04 "4" 3.764 3.978 3.49
"47" -2.87 -1.103 -1.234 -1.061 "5" 1.767 1.636 1.809
